AssemblyConfigName,Component,ConfigName,FeatureName,FeatureType,DimFullName,Value_mm,Value_in,Tolerance_Type,IsDriven,IsLinked,IsGlobalVar,EquationOrComment
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D2@Side Profile@KOR-000_MasterLayout.Part,533.4000,21.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D3@Side Profile@KOR-000_MasterLayout.Part,50.8000,2.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D4@Side Profile@KOR-000_MasterLayout.Part,293.3700,11.5500,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D5@Side Profile@KOR-000_MasterLayout.Part,17.4533,0.6871,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D7@Side Profile@KOR-000_MasterLayout.Part,44.4500,1.7500,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D6@Side Profile@KOR-000_MasterLayout.Part,38.1000,1.5000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D8@Side Profile@KOR-000_MasterLayout.Part,19.0500,0.7500,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D9@Side Profile@KOR-000_MasterLayout.Part,152.4000,6.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D10@Side Profile@KOR-000_MasterLayout.Part,7.9375,0.3125,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D11@Side Profile@KOR-000_MasterLayout.Part,6.9850,0.2750,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D12@Side Profile@KOR-000_MasterLayout.Part,101.6000,4.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D13@Side Profile@KOR-000_MasterLayout.Part,1.5240,0.0600,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D14@Side Profile@KOR-000_MasterLayout.Part,1239.5200,48.8000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D15@Side Profile@KOR-000_MasterLayout.Part,1.5240,0.0600,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D16@Side Profile@KOR-000_MasterLayout.Part,15.8750,0.6250,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D17@Side Profile@KOR-000_MasterLayout.Part,25.4000,1.0000,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D18@Side Profile@KOR-000_MasterLayout.Part,25.4000,1.0000,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D19@Side Profile@KOR-000_MasterLayout.Part,9.5250,0.3750,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D20@Side Profile@KOR-000_MasterLayout.Part,76.2000,3.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D22@Side Profile@KOR-000_MasterLayout.Part,38.1000,1.5000,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D21@Side Profile@KOR-000_MasterLayout.Part,31.7500,1.2500,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Side Profile,ProfileFeature,D23@Side Profile@KOR-000_MasterLayout.Part,1016.0000,40.0000,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Handle Mid Plane,RefPlane,D1@Handle Mid Plane@KOR-000_MasterLayout.Part,9.5250,0.3750,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Port_XZ_Angle,ProfileFeature,D2@Port_XZ_Angle@KOR-000_MasterLayout.Part,293.3700,11.5500,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Port_XZ_Angle,ProfileFeature,D1@Port_XZ_Angle@KOR-000_MasterLayout.Part,1047.1976,41.2283,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Port_YZ_Angle,ProfileFeature,D1@Port_YZ_Angle@KOR-000_MasterLayout.Part,523.5988,20.6141,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Port_YZ_Angle,ProfileFeature,D2@Port_YZ_Angle@KOR-000_MasterLayout.Part,293.3700,11.5500,N/A,TRUE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Eyebolt_Mid_Plane,ProfileFeature,D1@Eyebolt_Mid_Plane@KOR-000_MasterLayout.Part,9.5250,0.3750,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Eyebolt_Mid_Plane,ProfileFeature,D2@Eyebolt_Mid_Plane@KOR-000_MasterLayout.Part,38.1000,1.5000,N/A,FALSE,FALSE,FALSE,
Default,KOR-000_MasterLayout-1,Default,Eyebolt_Mid_Plane,ProfileFeature,D3@Eyebolt_Mid_Plane@KOR-000_MasterLayout.Part,4.7625,0.1875,N/A,FALSE,FALSE,FALSE,
